expert_a,expert_b,n_common_skills,full_answer_matches,full_similarity_pct,usage_matches,usage_similarity_pct,difficulty_matches,difficulty_similarity_pct
E01_RW,E15_KR,209,154,0.7368421052631579,159,0.7607655502392344,183,0.8755980861244019
E01_RW,E04_JS,209,149,0.7129186602870813,171,0.8181818181818182,179,0.8564593301435407
E04_JS,E15_KR,209,108,0.5167464114832536,131,0.6267942583732058,161,0.7703349282296651
E08_JA,E12_MK,209,108,0.5167464114832536,137,0.6555023923444976,113,0.5406698564593302
E05_WD,E06_PM,209,100,0.4784688995215311,130,0.6220095693779905,149,0.7129186602870813
E08_JA,E10_MW,209,85,0.40669856459330145,92,0.44019138755980863,112,0.5358851674641149
E10_MW,E12_MK,209,78,0.37320574162679426,90,0.430622009569378,101,0.48325358851674644
E01_RW,E14_PMA,209,72,0.3444976076555024,124,0.5933014354066986,122,0.583732057416268
E06_PM,E09_MM,209,72,0.3444976076555024,97,0.46411483253588515,117,0.5598086124401914
E14_PMA,E15_KR,209,71,0.3397129186602871,128,0.6124401913875598,113,0.5406698564593302
E09_MM,E10_MW,209,68,0.3253588516746411,71,0.3397129186602871,145,0.69377990430622
E05_WD,E09_MM,209,65,0.31100478468899523,110,0.5263157894736842,106,0.507177033492823
E11_SS,E15_KR,209,65,0.31100478468899523,114,0.5454545454545454,119,0.569377990430622
E01_RW,E11_SS,209,62,0.2966507177033493,114,0.5454545454545454,117,0.5598086124401914
E04_JS,E14_PMA,209,55,0.2631578947368421,109,0.5215311004784688,105,0.5023923444976076
E04_JS,E11_SS,209,51,0.24401913875598086,103,0.49282296650717705,109,0.5215311004784688
E03_PO,E04_JS,209,49,0.23444976076555024,128,0.6124401913875598,80,0.3827751196172249
E06_PM,E10_MW,209,48,0.22966507177033493,77,0.3684210526315789,98,0.4688995215311005
E11_SS,E14_PMA,209,48,0.22966507177033493,107,0.5119617224880383,99,0.47368421052631576
E05_WD,E07_BK,209,43,0.20574162679425836,90,0.430622009569378,96,0.45933014354066987
E07_BK,E12_MK,209,43,0.20574162679425836,70,0.3349282296650718,96,0.45933014354066987
E01_RW,E03_PO,209,40,0.19138755980861244,135,0.645933014354067,72,0.3444976076555024
E08_JA,E09_MM,209,40,0.19138755980861244,50,0.23923444976076555,69,0.33014354066985646
E05_WD,E10_MW,209,39,0.18660287081339713,76,0.36363636363636365,86,0.41148325358851673
E03_PO,E12_MK,209,38,0.18181818181818182,102,0.4880382775119617,83,0.39712918660287083
E09_MM,E12_MK,209,38,0.18181818181818182,70,0.3349282296650718,76,0.36363636363636365
E06_PM,E07_BK,209,37,0.17703349282296652,84,0.4019138755980861,60,0.28708133971291866
E02_AC,E10_MW,209,36,0.1722488038277512,101,0.48325358851674644,66,0.3157894736842105
E05_WD,E12_MK,209,36,0.1722488038277512,69,0.33014354066985646,82,0.3923444976076555
E02_AC,E12_MK,209,34,0.16267942583732056,117,0.5598086124401914,66,0.3157894736842105
E07_BK,E13_MMA,209,34,0.16267942583732056,71,0.3397129186602871,84,0.4019138755980861
E01_RW,E02_AC,209,31,0.14832535885167464,80,0.3827751196172249,74,0.35406698564593303
E02_AC,E03_PO,209,31,0.14832535885167464,95,0.45454545454545453,69,0.33014354066985646
E07_BK,E08_JA,209,31,0.14832535885167464,59,0.2822966507177033,66,0.3157894736842105
E09_MM,E13_MMA,209,31,0.14832535885167464,52,0.24880382775119617,68,0.3253588516746411
E07_BK,E09_MM,209,30,0.14354066985645933,68,0.3253588516746411,71,0.3397129186602871
E10_MW,E13_MMA,209,30,0.14354066985645933,54,0.2583732057416268,66,0.3157894736842105
