expert_a,expert_b,n_common_skills,full_answer_matches,full_similarity_pct,usage_matches,usage_similarity_pct,difficulty_matches,difficulty_similarity_pct
E05_WD,E06_PM,46,30,0.6521739130434783,32,0.6956521739130435,41,0.8913043478260869
E01_RW,E04_JS,46,27,0.5869565217391305,34,0.7391304347826086,34,0.7391304347826086
E09_MM,E10_MW,46,24,0.5217391304347826,27,0.5869565217391305,33,0.717391304347826
E08_JA,E10_MW,46,22,0.4782608695652174,22,0.4782608695652174,25,0.5434782608695652
E08_JA,E12_MK,46,20,0.43478260869565216,31,0.6739130434782609,21,0.45652173913043476
E03_PO,E04_JS,46,16,0.34782608695652173,33,0.717391304347826,21,0.45652173913043476
E05_WD,E09_MM,46,16,0.34782608695652173,28,0.6086956521739131,25,0.5434782608695652
E06_PM,E09_MM,46,16,0.34782608695652173,33,0.717391304347826,22,0.4782608695652174
E10_MW,E12_MK,46,16,0.34782608695652173,17,0.3695652173913043,19,0.41304347826086957
E06_PM,E10_MW,46,15,0.32608695652173914,25,0.5434782608695652,20,0.43478260869565216
E11_SS,E14_PMA,46,15,0.32608695652173914,23,0.5,28,0.6086956521739131
E14_PMA,E15_KR,46,15,0.32608695652173914,27,0.5869565217391305,25,0.5434782608695652
E03_PO,E12_MK,46,14,0.30434782608695654,29,0.6304347826086957,21,0.45652173913043476
E02_AC,E04_JS,46,12,0.2608695652173913,23,0.5,23,0.5
E11_SS,E15_KR,46,12,0.2608695652173913,19,0.41304347826086957,31,0.6739130434782609
E01_RW,E02_AC,46,11,0.2391304347826087,24,0.5217391304347826,20,0.43478260869565216
E02_AC,E12_MK,46,11,0.2391304347826087,31,0.6739130434782609,14,0.30434782608695654
E05_WD,E10_MW,46,11,0.2391304347826087,22,0.4782608695652174,20,0.43478260869565216
E06_PM,E07_BK,46,11,0.2391304347826087,22,0.4782608695652174,19,0.41304347826086957
E01_RW,E03_PO,46,10,0.21739130434782608,37,0.8043478260869565,17,0.3695652173913043
E01_RW,E14_PMA,46,10,0.21739130434782608,16,0.34782608695652173,30,0.6521739130434783
E02_AC,E05_WD,46,10,0.21739130434782608,21,0.45652173913043476,21,0.45652173913043476
E04_JS,E05_WD,46,10,0.21739130434782608,20,0.43478260869565216,32,0.6956521739130435
E05_WD,E07_BK,46,10,0.21739130434782608,20,0.43478260869565216,23,0.5
E08_JA,E09_MM,46,10,0.21739130434782608,11,0.2391304347826087,19,0.41304347826086957
E09_MM,E13_MMA,46,10,0.21739130434782608,14,0.30434782608695654,15,0.32608695652173914
E01_RW,E15_KR,46,9,0.1956521739130435,12,0.2608695652173913,34,0.7391304347826086
E02_AC,E08_JA,46,9,0.1956521739130435,24,0.5217391304347826,17,0.3695652173913043
E10_MW,E13_MMA,46,9,0.1956521739130435,17,0.3695652173913043,15,0.32608695652173914
E01_RW,E05_WD,46,8,0.17391304347826086,15,0.32608695652173914,28,0.6086956521739131
E02_AC,E03_PO,46,8,0.17391304347826086,22,0.4782608695652174,16,0.34782608695652173
E02_AC,E10_MW,46,8,0.17391304347826086,17,0.3695652173913043,17,0.3695652173913043
