file_name,expert_id,round,years_experience_band,lcdp_experience_count,project_stage,project_task,skill_id,skill_name,usage_intensity_label,usage_intensity,difficulty_acquisition_label,difficulty_acquisition,synthetic_weight,comment
Expert_Survey_E01_RW.xlsx,E01_RW,1,20+,4,Design,Workflow model,1,+BPMN Process Model,5 - Essential / continuous,5,2 - Easy,2,10,
Expert_Survey_E01_RW.xlsx,E01_RW,1,20+,4,Design,Workflow model,2,Custom Process Model,5 - Essential / continuous,5,4 - Difficult,4,20,Usage Intensity
Expert_Survey_E01_RW.xlsx,E01_RW,1,20+,4,Design,Database model,3,+Business Data Types,4 - Frequent / important,4,1 - Very easy,1,4,1 - Rare / avoidable
Expert_Survey_E01_RW.xlsx,E01_RW,1,20+,4,Design,Database model,4,+Form-based Data,2 - Occasional / peripheral,2,2 - Easy,2,4,2 - Occasional / peripheral
Expert_Survey_E01_RW.xlsx,E01_RW,1,20+,4,Design,Database model,5,+Item-Detail,2 - Occasional / peripheral,2,3 - Moderate,3,6,3 - Moderate / recurring
Expert_Survey_E01_RW.xlsx,E01_RW,1,20+,4,Design,Database model,6,+Lookup/Drop-down,2 - Occasional / peripheral,2,3 - Moderate,3,6,4 - Frequent / important
Expert_Survey_E01_RW.xlsx,E01_RW,1,20+,4,Design,Database model,7,+Predefined Entities,1 - Rare / avoidable,1,1 - Very easy,1,1,5 - Essential / continuous
Expert_Survey_E01_RW.xlsx,E01_RW,1,20+,4,Design,Database model,8,Domain Model,4 - Frequent / important,4,3 - Moderate,3,12,
Expert_Survey_E01_RW.xlsx,E01_RW,1,20+,4,Design,Database model,9,Conditional Expressions,5 - Essential / continuous,5,2 - Easy,2,10,Difficulty of Acquisition
Expert_Survey_E01_RW.xlsx,E01_RW,1,20+,4,Design,Database model,10,Constraints,4 - Frequent / important,4,3 - Moderate,3,12,1 - Very easy
Expert_Survey_E01_RW.xlsx,E01_RW,1,20+,4,Design,Database model,11,Data Structure,4 - Frequent / important,4,4 - Difficult,4,16,2 - Easy
Expert_Survey_E01_RW.xlsx,E01_RW,1,20+,4,Design,Database model,12,IT Data Types,2 - Occasional / peripheral,2,4 - Difficult,4,8,3 - Moderate
Expert_Survey_E01_RW.xlsx,E01_RW,1,20+,4,Design,Database model,13,Denormalization,2 - Occasional / peripheral,2,5 - Very difficult,5,10,4 - Difficult
Expert_Survey_E01_RW.xlsx,E01_RW,1,20+,4,Design,Database model,14,Entity Diagrams,3 - Moderate / recurring,3,2 - Easy,2,6,5 - Very difficult
Expert_Survey_E01_RW.xlsx,E01_RW,1,20+,4,Design,Database model,15,Enumerations,4 - Frequent / important,4,4 - Difficult,4,16,
